MSSubClass,LotFrontage,LotArea,LotShape,LandContour,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,Alley_Grvl,MiscFeature_Shed,GarageType_Attchd,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Electrical_FuseA,Electrical_FuseF,Electrical_SBrkr,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SFoyer,RoofStyle_Gable,RoofStyle_Hip,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Normal,SaleCondition_Partial
120,44.0,4224,4,4,3,5,7,1976,1976,7,0.0,3,4,3,1,6,840,200,1040,3,1,1060,0,1060,1,1,0,3,1,3,6,1,3,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,69.0,8246,3,4,3,5,8,1968,2001,7,0.0,3,3,3,2,3,188,204,1060,5,1,1060,0,1060,1,1,0,3,1,4,6,1,3,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,110.0,14230,4,4,3,8,5,2007,2007,7,640.0,4,4,3,1,1,0,1566,1566,5,1,1600,0,1600,0,2,0,3,1,4,7,1,4,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,60.0,7200,4,4,3,5,7,1951,2000,7,0.0,3,3,3,2,4,234,180,900,3,1,900,0,900,0,1,0,3,1,4,5,0,0,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,98.0,11478,4,4,3,8,5,2007,2008,7,200.0,4,5,3,1,6,1218,486,1704,5,1,1704,0,1704,1,2,0,3,1,4,7,1,4,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,47.0,16321,3,4,3,5,6,1957,1997,7,0.0,3,3,3,4,4,1277,207,1484,3,1,1600,0,1600,1,1,0,2,1,3,6,2,4,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
30,60.0,6324,3,4,3,4,6,1927,1950,7,0.0,3,3,3,1,1,0,520,520,2,0,520,0,520,0,1,0,1,1,2,4,0,0,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
70,50.0,8500,4,4,3,4,4,1920,1950,7,0.0,3,3,3,1,1,0,649,649,3,0,649,668,1317,0,1,0,3,1,3,6,0,0,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,69.0,8544,3,4,3,5,6,1966,2006,7,0.0,3,3,3,1,1,0,1228,1228,4,1,1228,0,1228,0,1,1,3,1,4,6,0,0,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,85.0,11049,4,4,3,8,5,2007,2007,7,0.0,4,5,3,3,1,0,1234,1234,5,1,1234,0,1234,0,2,0,3,1,4,7,0,0,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,70.0,10552,3,4,3,5,5,1959,1959,7,0.0,3,3,3,1,3,1018,380,1398,4,1,1700,0,1700,0,1,1,4,1,4,6,1,4,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
120,60.0,7313,4,4,3,9,5,2005,2005,7,246.0,5,5,3,1,6,1153,408,1561,5,1,1561,0,1561,1,2,0,2,1,5,6,1,4,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
60,108.0,13418,4,4,3,8,5,2004,2005,7,132.0,4,5,3,3,1,0,1117,1117,5,1,1132,1320,2452,0,3,1,4,1,4,9,1,4,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
20,112.0,10859,4,4,3,5,5,1994,1995,7,0.0,3,4,3,1,1,0,1097,1097,5,1,1097,0,1097,0,1,1,3,1,3,6,0,0,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20,74.0,8532,4,4,3,5,6,1954,1990,7,650.0,3,3,3,1,3,1213,84,1297,4,1,1297,0,1297,0,1,0,3,1,3,5,1,3,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20,68.0,7922,4,4,3,5,7,1953,2007,7,0.0,3,3,3,1,6,731,326,1057,3,1,1057,0,1057,1,1,0,3,1,4,5,0,0,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
90,65.0,6040,4,4,3,4,5,1955,1955,7,0.0,3,0,0,0,0,0,0,0,3,0,1152,0,1152,0,2,0,2,2,2,6,0,0,1978.5061638868744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
20,84.0,8658,4,4,3,6,5,1965,1965,7,101.0,3,3,3,1,3,643,445,1088,5,1,1324,0,1324,0,2,0,3,1,3,6,1,3,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
20,115.0,16905,4,4,3,5,6,1959,1959,7,0.0,3,3,3,4,4,967,383,1350,4,1,1328,0,1328,0,1,1,2,1,3,5,2,4,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
85,69.0,9180,3,4,3,5,7,1983,1983,7,0.0,3,4,3,3,5,747,0,840,4,1,884,0,884,1,1,0,2,1,4,5,0,0,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
20,69.0,9200,3,4,3,5,6,1975,1980,7,0.0,3,4,3,3,2,280,167,938,3,1,938,0,938,1,1,0,3,1,3,5,0,0,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20,70.0,7945,4,4,3,5,6,1959,1959,7,0.0,3,3,3,1,5,179,465,1150,5,1,1150,0,1150,1,1,0,3,1,3,6,0,0,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
120,61.0,7658,4,4,3,9,5,2005,2005,7,412.0,5,5,3,1,6,456,1296,1752,5,1,1752,0,1752,1,2,0,2,1,5,6,1,4,2005.0,2,2,576,3,3,2,196,82,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
50,48.0,12822,3,4,3,7,5,2003,2003,7,0.0,4,5,3,1,6,1351,83,1434,5,1,1518,631,2149,1,1,1,1,1,4,6,1,5,2003.0,2,2,670,3,3,2,168,43,0,198,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
20,84.0,11096,4,4,3,8,5,2006,2006,7,0.0,4,4,3,3,6,24,1632,1656,5,1,1656,0,1656,0,2,0,3,1,4,7,0,0,2006.0,2,3,826,3,3,2,0,146,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
190,33.0,4456,4,4,3,4,5,1920,2008,7,0.0,3,3,3,1,1,0,736,736,4,1,736,716,1452,0,2,0,2,3,3,8,0,0,1978.5061638868744,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
20,66.0,7742,4,4,3,5,7,1966,1966,7,0.0,3,3,3,1,4,763,192,955,5,1,955,0,955,1,1,0,3,1,3,6,0,0,1966.0,1,1,386,3,3,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
60,69.0,13869,2,4,3,6,6,1997,1997,7,0.0,3,4,3,3,6,182,612,794,4,1,794,676,1470,0,2,0,3,1,3,6,0,0,1997.0,3,2,388,3,3,2,0,75,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
50,52.0,6240,4,4,3,6,6,1934,1950,7,0.0,3,3,3,1,1,0,816,816,3,1,816,0,1176,0,1,0,3,1,3,6,1,4,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
90,110.0,8472,2,3,2,5,5,1963,1963,7,0.0,2,4,3,4,2,104,0,816,3,0,816,0,816,1,1,0,2,1,3,5,0,0,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
20,68.0,50271,3,1,3,9,5,1981,1987,1,0.0,4,5,3,4,6,1810,32,1842,4,1,1842,0,1842,2,0,1,0,1,4,5,1,4,1981.0,3,3,894,3,3,2,857,72,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
80,60.0,7134,4,3,2,5,5,1955,1955,7,0.0,3,3,3,1,5,384,0,384,3,1,1360,0,1360,0,1,0,3,1,3,6,1,3,1962.0,1,2,572,3,3,2,0,50,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
